2:44:51 92% (15m left); send: 14711347 1.48 Kp/s (1.49 Kp/s avg); recv: 10519 0 p/s (1 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.07%
2:44:52 92% (15m left); send: 14712837 1.49 Kp/s (1.49 Kp/s avg); recv: 10519 0 p/s (1 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.07%
2:44:53 92% (15m left); send: 14714325 1.49 Kp/s (1.49 Kp/s avg); recv: 10519 0 p/s (1 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.07%
2:44:54 92% (15m left); send: 14715809 1.48 Kp/s (1.49 Kp/s avg); recv: 10519 0 p/s (1 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.07%
2:44:55 92% (15m left); send: 14717301 1.49 Kp/s (1.49 Kp/s avg); recv: 10519 0 p/s (1 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.07%
2:44:56 92% (15m left); send: 14718789 1.49 Kp/s (1.49 Kp/s avg); recv: 10519 0 p/s (1 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.07%
2:44:57 92% (15m left); send: 14720277 1.49 Kp/s (1.49 Kp/s avg); recv: 10520 0 p/s (1 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.07%
2:44:58 92% (15m left); send: 14721764 1.49 Kp/s (1.49 Kp/s avg); recv: 10520 0 p/s (1 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.07%
2:44:59 92% (15m left); send: 14723253 1.49 Kp/s (1.49 Kp/s avg); recv: 10520 0 p/s (1 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.07%
2:45:00 92% (15m left); send: 14724741 1.49 Kp/s (1.49 Kp/s avg); recv: 10520 0 p/s (1 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.07%
2:45:01 92% (15m left); send: 14726229 1.49 Kp/s (1.49 Kp/s avg); recv: 10520 0 p/s (1 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.07%
2:45:02 92% (15m left); send: 14727715 1.49 Kp/s (1.49 Kp/s avg); recv: 10521 0 p/s (1 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.07%
2:45:03 92% (15m left); send: 14729205 1.49 Kp/s (1.49 Kp/s avg); recv: 10522 0 p/s (1 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.07%
2:45:04 92% (15m left); send: 14730688 1.48 Kp/s (1.49 Kp/s avg); recv: 10523 0 p/s (1 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.07%
